"YY","MM","DD","hh","WD","WSPD","GST","WVHT","DPD","APD","MWD","BAR","ATMP","WTMP","DEWP","VIS"
86,1,9,22,220,10,11,99,99,99,999,1013.6,3.2,3.9,999,99
86,1,9,23,220,11,13,99,99,99,999,1013.1,2.1,3.8,999,99
86,1,10,0,210,11,13,99,99,99,999,1012.9,1.5,3.5,999,99
86,1,10,1,220,11,14,99,99,99,999,1012.1,1.5,3.5,999,99
86,1,10,2,220,12,15,99,99,99,999,1010.7,1.9,3.5,999,99
86,1,10,3,210,11,13,99,99,99,999,1010.5,2.1,3.5,999,99
86,1,10,4,220,11,13,99,99,99,999,1009.5,2.7,3.5,999,99
86,1,10,5,220,12,14,99,99,99,999,1008.7,3,3.5,999,99
86,1,10,6,220,10,13,99,99,99,999,1009.1,2.8,3.5,999,99
86,1,10,7,230,11,13,99,99,99,999,1009.7,2.6,3.4,999,99
86,1,10,8,230,10,12,99,99,99,999,1009.7,2.7,3.2,999,99
86,1,10,9,220,8,10,99,99,99,999,1009.4,2.5,3.2,999,99
86,1,10,10,220,8,9,99,99,99,999,1009.3,2.4,3.1,999,99
86,1,10,11,220,8,9,99,99,99,999,1009.7,2.4,3.2,999,99
86,1,10,12,220,9,11,99,99,99,999,1009.7,2.3,3.3,999,99
86,1,10,13,220,9,10,99,99,99,999,1009.9,2.5,3.5,999,99
86,1,10,14,230,8,9,99,99,99,999,1010.6,2.8,4.5,999,99
86,1,10,15,240,8,11,99,99,99,999,1010.8,3.1,4.8,999,99
86,1,10,16,230,8,9,99,99,99,999,1010.2,3.5,4.8,999,99
86,1,10,17,230,8,11,99,99,99,999,1009.7,3.6,4.8,999,99
86,1,10,18,230,6,7,99,99,99,999,1009.1,3.5,4.7,999,99
86,1,10,19,230,6,7,99,99,99,999,1009.2,4,4.1,999,99
86,1,10,20,250,9,10,99,99,99,999,1009.6,4.3,3.6,999,99
86,1,10,21,250,8,10,99,99,99,999,1010,4.1,3.5,999,99
86,1,10,22,250,6,7,99,99,99,999,1010.8,3.9,3.4,999,99
86,1,10,23,250,5,7,99,99,99,999,1011.6,3.9,3.4,999,99
86,1,11,0,270,5,6,99,99,99,999,1012.3,3.8,3.5,999,99
86,1,11,1,270,9,10,99,99,99,999,1012.3,3.6,3.5,999,99
86,1,11,2,270,10,12,99,99,99,999,1012.2,3.8,3.7,999,99
86,1,11,3,270,8,9,99,99,99,999,1012.1,3.5,3.9,999,99
86,1,11,4,270,6,7,99,99,99,999,1012.2,2.9,3.9,999,99
86,1,11,5,270,5,7,99,99,99,999,1012.9,2.6,4,999,99
86,1,11,6,270,7,8,99,99,99,999,1013.7,2.4,4,999,99
86,1,11,7,310,7,9,99,99,99,999,1014.4,2.6,3.9,999,99
86,1,11,8,330,9,11,99,99,99,999,1015.5,1.2,3.9,999,99
86,1,11,9,320,9,11,99,99,99,999,1016.2,0.3,3.6,999,99
86,1,11,10,320,7,8,99,99,99,999,1016.6,-0.3,3.5,999,99
86,1,11,11,320,8,10,99,99,99,999,1017,-1.5,3.5,999,99
86,1,11,12,320,8,10,99,99,99,999,1018.2,-2.6,3.5,999,99
86,1,11,13,310,10,13,99,99,99,999,1018.5,-3.2,3.7,999,99
86,1,11,14,320,9,11,99,99,99,999,1019.1,-3.6,3.9,999,99
86,1,11,15,330,8,10,99,99,99,999,1019.1,-3.4,3.9,999,99
86,1,11,16,320,7,9,99,99,99,999,1018.5,-3.1,3.8,999,99
86,1,11,17,330,5,7,99,99,99,999,1017.7,-2.5,3.8,999,99
86,1,11,18,330,3,4,99,99,99,999,1017.5,-2,3.8,999,99
86,1,11,19,330,3,4,99,99,99,999,1017.7,-1.3,3.8,999,99
86,1,11,20,340,1,2,99,99,99,999,1018.1,-0.7,3.6,999,99
86,1,11,21,0,0,1,99,99,99,999,1018.4,-0.6,3.5,999,99
86,1,11,22,0,0,0,99,99,99,999,1018.6,-1,3.5,999,99
86,1,11,23,0,0,0,99,99,99,999,1019.1,-1.1,3.3,999,99
86,1,12,0,220,1,2,99,99,99,999,1019.2,-0.6,3.3,999,99
86,1,12,1,210,2,3,99,99,99,999,1019.1,-0.3,3.4,999,99
86,1,12,2,200,5,5,99,99,99,999,1018.6,-0.6,3.5,999,99
86,1,12,3,190,5,6,99,99,99,999,1018.2,-0.9,3.5,999,99
86,1,12,4,190,6,7,99,99,99,999,1018,-1.3,3.5,999,99
86,1,12,5,180,6,7,99,99,99,999,1017,-1.3,3.6,999,99
86,1,12,6,200,7,8,99,99,99,999,1017.3,-1.9,3.6,999,99
86,1,12,7,190,7,8,99,99,99,999,1016.8,-1.1,3.5,999,99
86,1,12,8,190,7,10,99,99,99,999,1015.8,-0.8,3.5,999,99
86,1,12,9,190,9,11,99,99,99,999,1014.6,-0.2,3.5,999,99
86,1,12,10,190,10,12,99,99,99,999,1013.7,0.3,3.4,999,99
86,1,12,11,190,9,11,99,99,99,999,1012.9,1.1,3.3,999,99
86,1,12,12,190,8,10,99,99,99,999,1012.7,1.2,3.4,999,99
