Higher classification,Order,Family,Common Name,Genus,Species,Body Temperature (C),Body Mass (g),Basal Metabolic Rate (W),Air temperature (C)
Laurasiatheria,Chiroptera,Phyllostomidae,American Leaf-nosed Bats,Carollia,perspicillata,36.4,14.9,0.24,22.74612569
Euarchontoglires,Rodentia,Heteromyidae,*,Chaetodipus,formosus,*,15.1,0.103,11.44340786
Euarchontoglires,Rodentia,Heteromyidae,*,Microdipodops,pallidus,39.3,15.2,0.11,8.774976595
Euarchontoglires,Rodentia,Cricetidae,*,Scotinomys,xerampelinus,36.2,15.2,0.178,25.53234611
Laurasiatheria,Chiroptera,Molossidae,Free-tailed Bats,Molossus,molossus,31.4,15.6,0.126,21.4263006
Laurasiatheria,Chiroptera,Pteropodidae,Old-world Fruit Bats,Macroglossus,minimus,36.2,15.9,0.103,17.74099969
Euarchontoglires,Rodentia,Heteromyidae,*,Chaetodipus,intermedius,36,15.9,0.106,15.94113439
Laurasiatheria,Chiroptera,Pteropodidae,Old-world Fruit Bats,Syconycteris,australis,35.9,15.9,0.122,16.07124348
Euarchontoglires,Rodentia,Cricetidae,*,Peromyscus,crinitus,35.7,15.9,0.14,9.503245255
Euarchontoglires,Rodentia,Heteromyidae,*,Chaetodipus,penicillatus,*,16,0.125,17.00252435
Euarchontoglires,Rodentia,Cricetidae,*,Calomys,lepidus,*,16,0.161,6.667006054
Laurasiatheria,Chiroptera,Phyllostomidae,American Leaf-nosed Bats,Erophylla,sezekorni,39.3,16.1,0.099,12.19379515
Laurasiatheria,Chiroptera,Phyllostomidae,American Leaf-nosed Bats,Erophylla,bombifrons,32,16.1,0.208011111,*
Laurasiatheria,Chiroptera,Phyllostomidae,American Leaf-nosed Bats,Uroderma,bilobatum,35.1,16.2,0.176,22.76491568
Marsupialia,Dasyuromorpha,Dasyuridae,Dasyurids,Sminthopsis,crassicaudata,35.2,16.4,0.14,18.9126931
Laurasiatheria,Chiroptera,Mormoopidae,Leaf-chinned Bats,Mormoops,megalophylla,36.9,16.5,0.136,18.74596328
Laurasiatheria,Chiroptera,Molossidae,Free-tailed Bats,Tadarida,brasiliensis,36,16.9,0.113,15.71066025
Euarchontoglires,Rodentia,Cricetidae,*,Calomys,musculinus,36.2,16.9,0.154,14.45941925
Euarchontoglires,Soricomorpha,Soricidae,Shrews,Neomys,fodiens,37.3,17.1,0.305,1.682375817
Euarchontoglires,Soricomorpha,Soricidae,Shrews,Crocidura,poensis,35.5,17.3,0.173,22.61685621
Laurasiatheria,Chiroptera,Vespertilionidae,Vesper Bats,Chalinolobus,gouldii,35.5,17.5,0.141,19.61495758
Euarchontoglires,Rodentia,Cricetidae,*,Eligmodontia,typus,36.4,17.5,0.167,10.92195092
