Higher classification,Order,Family,Common Name,Genus,Species,Body Temperature (C),Body Mass (g),Basal Metabolic Rate (W),Air temperature (C)
Euarchontoglires,Erinaceomorpha,Erinaceidae,Hedgehogs & Moonrats,Erinaceus,concolor,35.2,822.7,1.937,7.887046977
Marsupialia,Peramelemorphia,Peramelidae,Bandicoots & Bilbies,Perameles,gunnii,35.2,837,2.343,10.06232639
Laurasiatheria,Carnivora,Herpestidae,Mongooses,Suricata,suricatta,36.3,850,1.729,17.18575734
Euarchontoglires,Primates,Cebidae,*,Saimiri,sciureus,38,875,4.468,24.84413529
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Hydromys,chrysogaster,36.6,900,2.97,18.60213578
Laurasiatheria,Carnivora,Mustelidae,"Otters, Weasels & Badgers",Martes,americana,38,900,3.319,-2.512297836
Euarchontoglires,Rodentia,Dasyproctidae,*,Myoprocta,acouchy,35.4,914,2.804,24.69979763
Marsupialia,Diprontodontia,Pseudocheiridae,*,Pseudocheirus,peregrinus,37.4,916,2.402,15.83084864
Laurasiatheria,Carnivora,Mustelidae,"Otters, Weasels & Badgers",Martes,martes,*,920,4,3.967260202
Marsupialia,Didelphimorphia,Didelphidae,American Opossums,Chironectes,minimus,35,935,2.549,21.50578711
Euarchontoglires,Primates,Galagidae,*,Otolemur,crassicaudatus,38,950,2.298,21.05869553
Euarchontoglires,Primates,Lorisidae,*,Perodicticus,potto,36.1,964,1.824,23.41664125
Marsupialia,Diprontodontia,Potoroidae,*,Potorous,tridactylus,35.9,976,2.323,10.30322725
Marsupialia,Dasyuromorpha,Dasyuridae,Dasyurids,Dasyurus,viverrinus,36.6,982,2.21,7.047901712
Euarchontoglires,Rodentia,Cricetidae,*,Ondatra,zibethicus,37.4,1004.6,3.586,2.928835939
Laurasiatheria,Carnivora,Felidae,Cats,Leptailurus,serval,36.5,1012,1.44,22.8600731
Marsupialia,Diprontodontia,Potoroidae,*,Bettongia,penicillata,37.2,1018,3.132,17.95847738
Laurasiatheria,Chiroptera,Pteropodidae,Old-world Fruit Bats,Pteropus,vampyrus,36.9,1024.3,4.486,18.20688012
Xenarthra,Cingulata,Dasypodidae,Armadillos,Chaetophractus,vellerosus,34.4,1110,1.707,20.16287039
Marsupialia,Diprontodontia,Pseudocheiridae,*,Petauroides,volans,35.4,1141,3.202,15.85577514
Xenarthra,Cingulata,Dasypodidae,Armadillos,Tolypeutes,matacus,33,1160,1.172,21.33906462
Euarchontoglires,Primates,Lorisidae,*,Nycticebus,coucang,35.4,1160,1.523,20.62928951
Laurasiatheria,Carnivora,Procyonidae,Raccoons,Procyon,cancrivorus,37.6,1160,2.588,23.01256614
Marsupialia,Didelphimorphia,Didelphidae,American Opossums,Didelphis,marsupialis,35,1165,3.185,23.47445554
Laurasiatheria,Carnivora,Canidae,Dogs & Foxes,Vulpes,zerda,38.8,1215,3.252,24.48291652
Marsupialia,Peramelemorphia,Peramelidae,Bandicoots & Bilbies,Echymipera,rufescens,35.2,1276,3.018,18.60388812
Laurasiatheria,Carnivora,Procyonidae,Raccoons,Bassariscus,sumichrasti,38.8,1280,3.537,20.85377419
Marsupialia,Peramelemorphia,Peramelidae,Bandicoots & Bilbies,Macrotis,lagotis,35,1294,2.51,23.17045685
Euarchontoglires,Primates,Galagidae,*,Otolemur,garnettii,*,1314,3.927,22.02356843
Marsupialia,Dasyuromorpha,Dasyuridae,Dasyurids,Dasyurus,geoffroii,36.2,1354,3.172,14.34992295
Laurasiatheria,Pholidota,Manidae,*,Manis,tricuspis,32.6,1365,1.54,23.26586726
Marsupialia,Diprontodontia,Potoroidae,*,Bettongia,gaimardi,35.6,1385,3.578,7.867804462
Laurasiatheria,Pholidota,Manidae,*,Manis,tetradactyla,33,1430,1.278,23.33979832
Marsupialia,Peramelemorphia,Peramelidae,Bandicoots & Bilbies,Isoodon,macrourus,35.9,1551,3.202,19.86283812
Euarchontoglires,Lagomorpha,Leporidae,Rabbits & Hares,Lepus,americanus,39.8,1581,8.468,-1.205701551
Euarchontoglires,Rodentia,Caviidae,Cavies & Guinea-pigs,Dolichotis,salinicola,38.4,1613,4.05,19.98635734
Laurasiatheria,Artiodactyla,Tragulidae,Chevrotains,Tragulus,javanicus,*,1618,4.865,22.15840179
Laurasiatheria,Carnivora,Viverridae,Genets & Civets,Genetta,tigrina,*,1698,4.167,15.53612612
Xenarthra,Cingulata,Dasypodidae,Armadillos,Zaedyus,pichiy,35.2,1740,2.192,9.348937507
Laurasiatheria,Carnivora,Canidae,Dogs & Foxes,Vulpes,macrotis,38,1769,4.779944444,*
Laurasiatheria,Carnivora,Canidae,Dogs & Foxes,Vulpes,velox,*,1769,4.948,12.30941851
Marsupialia,Dasyuromorpha,Dasyuridae,Dasyurids,Dasyurus,maculatus,36.9,1782,3.281,13.76086017
Euarchontoglires,Rodentia,Nesomyidae,*,Cricetomys,gambianus,35.6,1870,6.364,23.70154449
Afrotheria,Hyracoidea,Procaviidae,Hyraxes,Heterohyrax,brucei,36.7,2000,4.017,21.80311761
Euarchontoglires,Lagomorpha,Leporidae,Rabbits & Hares,Oryctolagus,cuniculus,39,2000,6.36,9.595086795
Marsupialia,Diprontodontia,Phalangeridae,Brush-tail Possums & Cuscuses,Trichosurus,vulpecula,36,2005,4.081,16.52603735
Laurasiatheria,Carnivora,Viverridae,Genets & Civets,Arctogalidia,trivirgata,36.2,2010,3.085,20.3913322
Xenarthra,Cingulata,Dasypodidae,Armadillos,Chaetophractus,nationi,35.5,2150,3.118,4.328206561
Afrotheria,Hyracoidea,Procaviidae,Hyraxes,Dendrohyrax,dorsalis,*,2210,4.19,23.11240771
Laurasiatheria,Carnivora,Eupleridae,*,Fossa,fossana,37.9,2260,5.09,19.26695634
Euarchontoglires,Rodentia,Pedetidae,Spring Hare,Pedetes,capensis,35.9,2300,4.427,20.15980825
Euarchontoglires,Lagomorpha,Leporidae,Rabbits & Hares,Lepus,californicus,39.2,2300,7.314,12.97892789
Euarchontoglires,Primates,Lemuridae,Lemurs,Eulemur,fulvus,36.5,2330,4.162,19.53216825
Laurasiatheria,Carnivora,Procyonidae,Raccoons,Potos,flavus,36.1,2343,4.441,23.07302646
Euarchontoglires,Lagomorpha,Leporidae,Rabbits & Hares,Lepus,townsendii,38.2,2430,7.051,5.295040553
Euarchontoglires,Rodentia,Capromyidae,Hutias,Geocapromys,brownii,*,2456,4.11,7.203917761
Marsupialia,Didelphimorphia,Didelphidae,American Opossums,Didelphis,virginiana,35,2488,4.641,15.4287355
Euarchontoglires,Rodentia,Capromyidae,Hutias,Capromys,pilorides,36.1,2630,3.375,13.93639486
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Marmota,monax,37,2650,3.696,2.57313906
Marsupialia,Diprontodontia,Macropodidae,Kangaroos & Wallabies,Lagorchestes,conspicillatus,36,2660,4.749,23.23716699
Marsupialia,Diprontodontia,Macropodidae,Kangaroos & Wallabies,Setonix,brachyurus,36.3,2674,4.654,10.46834009
Euarchontoglires,Rodentia,Dasyproctidae,*,Dasyprocta,leporina,38.3,2687,8.694,23.68745685
Monotremata,Monotremata,Tachyglossidae,Platypus,Tachyglossus,aculeatus,30.7,2725,2.404,19.66078392
Afrotheria,Hyracoidea,Procaviidae,Hyraxes,Procavia,capensis,39,2750,6.3535,22.82202882
Marsupialia,Diprontodontia,Potoroidae,*,Aepyprymnus,rufescens,36.5,2820,5.978,17.94419926
Laurasiatheria,Carnivora,Mustelidae,"Otters, Weasels & Badgers",Eira,barbara,38.4,2950,6.811,22.56139799
Euarchontoglires,Primates,Cercopithecidae,Old-world Monkeys,Erythrocebus,patas,*,3000,5.958,26.13831221
Euarchontoglires,Lagomorpha,Leporidae,Rabbits & Hares,Lepus,alleni,37.9,3000,9.205,17.28438902
Euarchontoglires,Lagomorpha,Leporidae,Rabbits & Hares,Lepus,arcticus,38.9,3004.4,6.036,-11.38373285
Euarchontoglires,Lagomorpha,Leporidae,Rabbits & Hares,Lepus,timidus,39.7,3025,11.815,-4.956934845
Laurasiatheria,Carnivora,Viverridae,Genets & Civets,Paradoxurus,hermaphroditus,36.5,3160,7.665,20.2187399
Euarchontoglires,Rodentia,Erethizontidae,New-world Porcupines,Coendou,prehensilis,36.7,3280,5.123,23.52582828
Euarchontoglires,Primates,Indridae,Indris & Sifakas,Propithecus,verreauxi,*,3350,3.738,19.55989597
Xenarthra,Pilosa,Myrmecophagidae,American Anteaters,Tamandua,tetradactyla,33.5,3500,5.015,23.35100279
Xenarthra,Cingulata,Dasypodidae,Armadillos,Dasypus,novemcinctus,34.5,3510,4.825,21.4660295
Laurasiatheria,Carnivora,Felidae,Cats,Leopardus,wiedii,38,3600,5.227,22.67046262
Laurasiatheria,Carnivora,Canidae,Dogs & Foxes,Vulpes,lagopus,38.6,3600,7.665,*
Laurasiatheria,Pholidota,Manidae,*,Manis,pentadactyla,33.4,3637.5,3.727,16.62137282
Laurasiatheria,Carnivora,Procyonidae,Raccoons,Nasua,narica,38.6,3670,6.733,18.46905427
Xenarthra,Pilosa,Megalonychidae,Two-toed Sloths,Choloepus,hoffmanni,34.4,3770,3.364,21.28050203
Xenarthra,Pilosa,Bradypodidae,Three-toed Sloths,Bradypus,variegatus,33,3790,3.827,23.80282743
Euarchontoglires,Rodentia,Dasyproctidae,*,Dasyprocta,azarae,37.5,3849,10.521,20.9457644
Xenarthra,Pilosa,Myrmecophagidae,American Anteaters,Tamandua,mexicana,32,3977,5.534,19.62598829
Laurasiatheria,Carnivora,Procyonidae,Raccoons,Nasua,nasua,36.4,4000,5.345777778,23.54746773
Laurasiatheria,Artiodactyla,Bovidae,"Cattle, Antelopes, Sheep & Goats",Philantomba,monticola,*,4200,10.075,*
Laurasiatheria,Pholidota,Manidae,*,Manis,javanica,32.3,4220,6.23,20.47444734
Marsupialia,Diprontodontia,Phalangeridae,Brush-tail Possums & Cuscuses,Spilocuscus,maculatus,34.7,4250,6.164,18.73420825
Laurasiatheria,Carnivora,Nandiniidae,Palm Civet,Nandinia,binotata,37.4,4270,4.814,22.93160296
Laurasiatheria,Artiodactyla,Bovidae,"Cattle, Antelopes, Sheep & Goats",Madoqua,kirkii,*,4290,11.966,21.48659992
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Marmota,flaviventris,36.5,4295,8.626,5.947493966
Xenarthra,Cingulata,Dasypodidae,Armadillos,Cabassous,centralis,33.6,4330,5.116,19.48871865
Laurasiatheria,Carnivora,Canidae,Dogs & Foxes,Vulpes,vulpes,38.7,4440,13.623,3.270872392
Xenarthra,Cingulata,Dasypodidae,Armadillos,Chaetophractus,villosus,35.1,4540,4.508,17.92895973
Euarchontoglires,Primates,Atelidae,New-world Monkeys (was Cebidae),Alouatta,palliata,*,4670,11.464,19.35244285
Marsupialia,Diprontodontia,Phascolarctidae,Koala,Phascolarctos,cinereus,35.8,4765,5.768,16.78634931
Marsupialia,Diprontodontia,Macropodidae,Kangaroos & Wallabies,Macropus,eugenii,36.5,4796,7.78,13.66418982
Laurasiatheria,Carnivora,Procyonidae,Raccoons,Procyon,lotor,38,5075,8.92,10.52218677
Laurasiatheria,Carnivora,Canidae,Dogs & Foxes,Cerdocyon,thous,38.2,5444,8.502,22.0917996
Laurasiatheria,Carnivora,Ailuridae,*,Ailurus,fulgens,37.6,5740,4.898,4.47333501
Marsupialia,Dasyuromorpha,Dasyuridae,Dasyurids,Sarcophilus,harrisii,35.8,5775,7.394,*
Euarchontoglires,Rodentia,Chinchillidae,Viscachas & Chinchillas,Lagostomus,maximus,36.8,6784,10.597,16.29289697
Marsupialia,Diprontodontia,Macropodidae,Kangaroos & Wallabies,Dendrolagus,matschiei,36.3,6960,7.96,12.31292241
Laurasiatheria,Carnivora,Canidae,Dogs & Foxes,Canis,mesomelas,38,7720,21.533,20.47693507
Laurasiatheria,Carnivora,Hyaenidae,Hyenas,Proteles,cristata,36.4,8100,12.239,20.26564905
Xenarthra,Cingulata,Dasypodidae,Armadillos,Euphractus,sexcinctus,34.2,8190,6.901,21.18417047
Laurasiatheria,Carnivora,Felidae,Cats,Puma,yagouaroundi,38.4,8400,9.69,*
Euarchontoglires,Primates,Cercopithecidae,Old-world Monkeys,Cercopithecus,mitis,37.5,8500,18.923,21.38384797
Laurasiatheria,Carnivora,Canidae,Dogs & Foxes,Lycaon,pictus,*,8750,33.01,22.91840762
Laurasiatheria,Carnivora,Mustelidae,"Otters, Weasels & Badgers",Taxidea,taxus,38,9000,15.062,8.899502308
Euarchontoglires,Rodentia,Cuniculidae,*,Cuniculus,paca,37.2,9156,15.323,*
Laurasiatheria,Carnivora,Felidae,Cats,Lynx,rufus,*,9400,23.542,10.3607727
Euarchontoglires,Primates,Cercopithecidae,Old-world Monkeys,Papio,anubis,37.3,9500,14.97033333,*
Euarchontoglires,Primates,Cercopithecidae,Old-world Monkeys,Papio,ursinus,*,9500,15.497,*
Laurasiatheria,Artiodactyla,Bovidae,"Cattle, Antelopes, Sheep & Goats",Raphicerus,campestris,39,9600,20.619,19.12450171
Laurasiatheria,Carnivora,Canidae,Dogs & Foxes,Canis,latrans,37,10000,14.99,5.531604346
Laurasiatheria,Carnivora,Mustelidae,"Otters, Weasels & Badgers",Lutra,lutra,38.1,10000,25.104,4.799345307
Monotremata,Monotremata,Tachyglossidae,Platypus,Zaglossus,bruijni,30.8,10300,6.778,16.22791579
Euarchontoglires,Primates,Cercopithecidae,Old-world Monkeys,Colobus,guereza,37,10450,16.613,22.75932387
Laurasiatheria,Carnivora,Felidae,Cats,Leopardus,pardalis,38,10500,17.439,21.90595127
Laurasiatheria,Carnivora,Mustelidae,"Otters, Weasels & Badgers",Meles,meles,*,11050,16.647,4.548976101
Euarchontoglires,Rodentia,Erethizontidae,New-world Porcupines,Erethizon,dorsata,37.5,11136,15.531,0.878771721
Euarchontoglires,Rodentia,Hystricidae,Old-world Porcupines,Hystrix,africaeaustralis,37.5,11300,13.175,20.32907936
Laurasiatheria,Carnivora,Mustelidae,"Otters, Weasels & Badgers",Gulo,gulo,*,12700,31.765,-6.846616891
Laurasiatheria,Carnivora,Viverridae,Genets & Civets,Arctictis,binturong,36.7,14280,12.747,19.88393518
Laurasiatheria,Pholidota,Manidae,*,Manis,crassicaudata,33.4,15910,6.923,23.84128339
Euarchontoglires,Primates,Cercopithecidae,Old-world Monkeys,Papio,hamadryas,37,16900,27.73661111,21.87220386
Laurasiatheria,Carnivora,Mustelidae,"Otters, Weasels & Badgers",Enhydra,lutris,38.5,18000,67.278,*
Laurasiatheria,Artiodactyla,Tayassuidae,Peccaries,Pecari,tajacu,37.5,20500,33.165,22.15008519
Laurasiatheria,Artiodactyla,Cervidae,Deer,Capreolus,capreolus,*,21500,46.347,6.776477123
Euarchontoglires,Rodentia,Caviidae,Cavies & Guinea-pigs,Hydrochoeris,hydrochaeris,37.1,26385,36.798,23.10084019
Laurasiatheria,Carnivora,Phocidae,Earless Seals,Phoca,vitulina,*,27400,73.29,*
Marsupialia,Diprontodontia,Macropodidae,Kangaroos & Wallabies,Macropus,robustus,36.1,29300,31.71,20.6394105
Marsupialia,Diprontodontia,Vombatidae,Wombats,Lasiorhinus,latifrons,35.3,29917,16.69,15.2971044
Xenarthra,Pilosa,Myrmecophagidae,American Anteaters,Myrmecophaga,tridactyla,32.5,30600,14.543,23.51537636
Laurasiatheria,Artiodactyla,Bovidae,"Cattle, Antelopes, Sheep & Goats",Oreamnos,americanus,38.6,32000,46.414,-1.018576957
Marsupialia,Diprontodontia,Macropodidae,Kangaroos & Wallabies,Macropus,rufus,35.9,32490,32.625,20.9220515
Laurasiatheria,Carnivora,Hyaenidae,Hyenas,Hyaena,hyaena,*,34300,31.954,22.2264966
Laurasiatheria,Carnivora,Felidae,Cats,Puma,concolor,37.6,37200,49.326,17.50151708
Laurasiatheria,Artiodactyla,Antilocapridae,Pronghorn,Antilocapra,americana,*,37800,51.981,9.041605497
Laurasiatheria,Carnivora,Felidae,Cats,Acinonyx,jubatus,39,37900,50.107,22.79226625
Xenarthra,Cingulata,Dasypodidae,Armadillos,Priodontes,maximus,33.6,45190,16.892,24.00817999
Afrotheria,Tubulidentata,Orycteropodidae,Aardvark,Orycteropus,afer,34.5,48000,34.275,22.79953468
Laurasiatheria,Carnivora,Felidae,Cats,Panthera,onca,*,50400,62.419,23.49808343
Laurasiatheria,Carnivora,Phocidae,Earless Seals,Histriophoca,fasciata,*,54000,118.59,*
Laurasiatheria,Artiodactyla,Cervidae,Deer,Odocoileus,virginianus,39,58588,142.863,12.11460862
Laurasiatheria,Carnivora,Ursidae,Bears,Melursus,ursinus,*,66957,47.064,23.86483492
Laurasiatheria,Artiodactyla,Cervidae,Deer,Cervus,elaphus,*,67000,112.43,2.681909056
Laurasiatheria,Artiodactyla,Bovidae,"Cattle, Antelopes, Sheep & Goats",Ovis,canadensis,*,69125,106.663,7.813691307
Laurasiatheria,Artiodactyla,Cervidae,Deer,Rangifer,tarandus,39.2,85000,119.66,-8.520508833
Laurasiatheria,Carnivora,Felidae,Cats,Panthera,leo,37.9,98000,94.58,25.32136959
Laurasiatheria,Artiodactyla,Bovidae,"Cattle, Antelopes, Sheep & Goats",Kobus,ellipsiprymnus,*,100000,148.949,23.30116027
Laurasiatheria,Artiodactyla,Camelidae,Camels,Lama,glama,38.7,115000,148.94,*
Laurasiatheria,Artiodactyla,Suidae,Pigs,Sus,scrofa,*,135000,104.15,11.0947027
Laurasiatheria,Carnivora,Felidae,Cats,Panthera,tigris,37.5,137900,133.859,20.07531573
Laurasiatheria,Carnivora,Phocidae,Earless Seals,Pagophilus,groenlandicus,*,150000,168.93,*
Laurasiatheria,Artiodactyla,Bovidae,"Cattle, Antelopes, Sheep & Goats",Taurotragus,oryx,39.05,150000,200.83,21.4803302
Afrotheria,Sirenia,Trichechidae,Manatees,Trichechus,inunguis,*,165223,64.52,*
Laurasiatheria,Perissodactyla,Equidae,Horses,Equus,asinus,*,177500,164.92,*
Laurasiatheria,Artiodactyla,Bovidae,"Cattle, Antelopes, Sheep & Goats",Connochaetes,taurinus,*,196500,230.073,20.86099783
Laurasiatheria,Artiodactyla,Cervidae,Deer,Alces,alces,38.6,325000,286.847,-4.290011968
Laurasiatheria,Artiodactyla,Bovidae,"Cattle, Antelopes, Sheep & Goats",Bos,taurus,38.4,347000,306.77,*
Laurasiatheria,Artiodactyla,Camelidae,Camels,Camelus,dromedarius,37.2,407000,224.779,*
Laurasiatheria,Artiodactyla,Bovidae,"Cattle, Antelopes, Sheep & Goats",Ovis,aries,39.4,*,0.508,*
